timestamp,src_ip,dst_ip,host,uri,interval_seconds
2024-11-26 11:50:45.849438,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,
2024-11-26 11:50:46.046139,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,0.196701
2024-11-26 11:50:46.348055,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,0.301916
2024-11-26 11:50:46.749227,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,0.401172
2024-11-26 11:51:46.921682,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.172455
2024-11-26 11:52:47.103354,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.181672
2024-11-26 11:53:47.260093,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.156739
2024-11-26 11:54:47.427092,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.166999
2024-11-26 11:55:47.485672,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.05858
2024-11-26 11:56:47.546358,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.060686
2024-11-26 11:57:47.608604,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.062246
2024-11-26 11:58:47.763032,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.154428
2024-11-26 11:59:47.818149,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.055117
2024-11-26 12:00:48.022865,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.204716
2024-11-26 12:01:48.318189,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.295324
2024-11-26 12:02:48.487475,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.169286
2024-11-26 12:03:48.558212,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.070737
2024-11-26 12:04:48.715402,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.15719
2024-11-26 12:05:48.896946,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.181544
2024-11-26 12:06:48.946138,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.049192
2024-11-26 12:07:49.001919,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.055781
2024-11-26 12:08:49.062950,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.061031
2024-11-26 12:09:49.216290,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.15334
2024-11-26 12:10:49.369834,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.153544
2024-11-26 12:11:49.523158,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.153324
2024-11-26 12:12:49.680246,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.157088
2024-11-26 12:13:49.737747,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.057501
2024-11-26 12:14:49.880222,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.142475
