ioc_type,value,notes
ip,0.0.0.0,unique IP address
ip,10.6.13.129,unique IP address
ip,10.6.13.133,unique IP address
ip,10.6.13.255,unique IP address
ip,10.6.13.3,unique IP address
ip,104.16.124.96,unique IP address
ip,104.16.230.132,unique IP address
ip,104.16.231.132,unique IP address
ip,104.208.203.90,unique IP address
ip,104.21.112.1,unique IP address
ip,104.21.16.1,unique IP address
ip,104.21.24.186,unique IP address
ip,104.21.64.1,unique IP address
ip,104.21.80.1,unique IP address
ip,104.21.96.1,unique IP address
ip,109.61.92.48,unique IP address
ip,13.107.18.254,unique IP address
ip,13.107.246.57,unique IP address
ip,13.107.42.10,unique IP address
ip,13.107.42.16,unique IP address
ip,13.74.187.43,unique IP address
ip,142.250.113.95,unique IP address
ip,142.250.115.104,unique IP address
ip,142.250.115.106,unique IP address
ip,142.250.115.94,unique IP address
ip,142.250.115.95,unique IP address
ip,142.250.115.99,unique IP address
ip,142.250.138.155,unique IP address
ip,142.250.138.97,unique IP address
ip,142.251.186.138,unique IP address
ip,150.171.27.11,unique IP address
ip,150.171.27.12,unique IP address
ip,150.171.28.11,unique IP address
ip,150.171.73.254,unique IP address
ip,157.240.24.13,unique IP address
ip,157.240.24.35,unique IP address
ip,172.202.65.254,unique IP address
ip,172.67.146.241,unique IP address
ip,173.194.208.155,unique IP address
ip,173.194.208.94,unique IP address
ip,173.222.52.33,unique IP address
ip,191.232.215.149,unique IP address
ip,20.189.173.6,unique IP address
ip,20.190.135.6,unique IP address
ip,20.190.157.13,unique IP address
ip,20.190.157.14,unique IP address
ip,20.190.157.9,unique IP address
ip,20.50.80.213,unique IP address
ip,204.79.197.203,unique IP address
ip,204.79.197.222,unique IP address
ip,205.174.24.80,unique IP address
ip,216.239.38.181,unique IP address
ip,217.20.51.22,unique IP address
ip,224.0.0.251,unique IP address
ip,224.0.0.252,unique IP address
ip,23.192.223.206,unique IP address
ip,23.192.223.240,unique IP address
ip,23.198.7.168,unique IP address
ip,23.198.7.180,unique IP address
ip,23.198.7.182,unique IP address
ip,23.198.7.186,unique IP address
ip,23.212.185.76,unique IP address
ip,23.212.185.87,unique IP address
ip,23.96.124.68,unique IP address
ip,23.96.180.189,unique IP address
ip,239.255.255.250,unique IP address
ip,255.255.255.255,unique IP address
ip,40.126.29.11,unique IP address
ip,40.126.29.13,unique IP address
ip,40.69.76.172,unique IP address
ip,44.239.34.26,unique IP address
ip,52.113.196.254,unique IP address
ip,52.123.129.14,unique IP address
ip,52.140.118.28,unique IP address
ip,52.156.123.84,unique IP address
ip,52.167.249.196,unique IP address
ip,67.217.228.199,unique IP address
ip,83.137.149.15,unique IP address
domain,DESKTOP-5AVE44C.massfriction.com,DNS query
domain,WIN-DQL4WFWJXQ4.massfriction.com,DNS query
