timestamp,src_ip,dst_ip,host,uri,interval_seconds
2025-06-13 22:37:25.399582,10.6.13.133,104.21.16.1,windows-msgas.com,/YSEpJj/CPZldd&293d91c90fd4799580711a44a9c358fa/R5n6W,
2025-06-13 22:37:55.499370,10.6.13.133,104.21.16.1,windows-msgas.com,/LIO92KGFa/7QqunUIPqCFL&1921d1790d9439a1582f369aaae9e8f5/mPF2uwY27hew2E,30.099788
2025-06-13 22:38:25.577922,10.6.13.133,104.21.16.1,windows-msgas.com,/sJwNeqH/O&1521b1b8cdb449a1d36b097f9cdf2430/dMhL,30.078552
2025-06-13 22:39:25.917868,10.6.13.133,104.21.16.1,event-datamicrosoft.live,/Y/aVO65eLBJkt2Tn&d120b0d80e343591742fa2c82d99671d,60.339946
2025-06-13 22:39:55.969477,10.6.13.133,104.21.16.1,event-datamicrosoft.live,/zj0/95rep&31205efb7d9469b1852377d9e86394ad,30.051609
2025-06-13 22:40:56.153921,10.6.13.133,104.21.16.1,windows-msgas.com,/xhuaU98DQz/PsgCI&312492d84dd469a1c5acddef4e47d4f1/9cu,60.184444
2025-06-13 22:41:56.666239,10.6.13.133,104.21.16.1,event-datamicrosoft.live,/rpyGYah/&153fb1492dd469b1d3406f2116ca55a9/2i,60.512318
2025-06-13 22:42:26.755550,10.6.13.133,104.21.16.1,event-datamicrosoft.live,/bck3He5bknO2/R1tmn&352091481234b995a626d5b736b72c3b/FwtKu,30.089311
2025-06-13 22:42:57.025042,10.6.13.133,104.21.16.1,event-datamicrosoft.live,/0Wf2VP3dC/KzXonG6YfLGvt&353c91580bd4797de2009a0a7b0dcd86/eo7zfb61GX,30.269492
2025-06-13 22:43:27.113229,10.6.13.133,104.21.16.1,event-datamicrosoft.live,/xgO1ItkW/CyE23hDWoPYU&35208ec92fd47db563ae8fe2f5ceda2b/ieIMojFvTYX3,30.088187
2025-06-13 22:44:57.545916,10.6.13.133,104.21.16.1,windows-msgas.com,/4hzRwPQh/17LxRwB2bJ4a&313d91cf5d347a61c5a11043d01d0c11/bxS8Fjsz,90.432687
2025-06-13 22:45:27.641827,10.6.13.133,104.21.16.1,windows-msgas.com,/64/VH5hLdF&58c19148031479a5b8f713046f27cd23/0,30.095911
2025-06-13 22:46:27.922226,10.6.13.133,104.21.16.1,windows-msgas.com,/xqEDnV8VBpDb/zSp1&d5059158cdd435f57f9d182e1c80bfcb/FH1CCNR,60.280399
2025-06-13 22:48:28.428861,10.6.13.133,104.21.16.1,windows-msgas.com,/PoiZboy3IfqgD/1j2Sm2MFvEJr&19c1b158edb46d9dd97f41ab2253531e/DXxdup5,120.506635
