timestamp,src_ip,dst_ip,query
2024-11-26 11:50:06.794448,10.11.26.3,10.11.26.183,inputsuggestions.msdxcdn.microsoft.com
2024-11-26 11:50:10.941790,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:50:10.942148,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:50:10.942299,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 11:50:10.942457,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 11:50:11.288227,10.11.26.183,10.11.26.3,classicgrand.com
2024-11-26 11:50:11.288325,10.11.26.183,10.11.26.3,classicgrand.com
2024-11-26 11:50:11.288517,10.11.26.183,10.11.26.3,edge.microsoft.com
2024-11-26 11:50:11.288580,10.11.26.183,10.11.26.3,edge.microsoft.com
2024-11-26 11:50:11.291652,10.11.26.183,10.11.26.3,classicgrand.com
2024-11-26 11:50:11.291741,10.11.26.183,10.11.26.3,classicgrand.com
2024-11-26 11:50:11.333612,10.11.26.3,10.11.26.183,classicgrand.com
2024-11-26 11:50:11.333665,10.11.26.3,10.11.26.183,edge.microsoft.com
2024-11-26 11:50:11.333665,10.11.26.3,10.11.26.183,classicgrand.com
2024-11-26 11:50:11.333799,10.11.26.3,10.11.26.183,edge.microsoft.com
2024-11-26 11:50:11.444471,10.11.26.3,10.11.26.183,classicgrand.com
2024-11-26 11:50:11.444524,10.11.26.3,10.11.26.183,classicgrand.com
2024-11-26 11:50:14.145454,10.11.26.183,10.11.26.3,modandcrackedapk.com
2024-11-26 11:50:14.145534,10.11.26.183,10.11.26.3,modandcrackedapk.com
2024-11-26 11:50:14.150461,10.11.26.183,10.11.26.3,confirmsubscription.com
2024-11-26 11:50:14.150571,10.11.26.183,10.11.26.3,confirmsubscription.com
2024-11-26 11:50:14.234653,10.11.26.3,10.11.26.183,confirmsubscription.com
2024-11-26 11:50:14.236416,10.11.26.3,10.11.26.183,confirmsubscription.com
2024-11-26 11:50:14.315055,10.11.26.3,10.11.26.183,modandcrackedapk.com
2024-11-26 11:50:14.319904,10.11.26.3,10.11.26.183,modandcrackedapk.com
2024-11-26 11:50:14.714156,10.11.26.183,10.11.26.3,fonts.googleapis.com
2024-11-26 11:50:14.714254,10.11.26.183,10.11.26.3,fonts.googleapis.com
2024-11-26 11:50:14.747884,10.11.26.183,10.11.26.3,fonts.gstatic.com
2024-11-26 11:50:14.747965,10.11.26.183,10.11.26.3,fonts.gstatic.com
2024-11-26 11:50:14.748250,10.11.26.3,10.11.26.183,fonts.gstatic.com
2024-11-26 11:50:14.763708,10.11.26.3,10.11.26.183,fonts.googleapis.com
2024-11-26 11:50:14.766334,10.11.26.3,10.11.26.183,fonts.googleapis.com
2024-11-26 11:50:14.804739,10.11.26.3,10.11.26.183,fonts.gstatic.com
2024-11-26 11:50:14.805541,10.11.26.183,10.11.26.3,www.google.com
2024-11-26 11:50:14.805661,10.11.26.183,10.11.26.3,www.google.com
2024-11-26 11:50:14.806012,10.11.26.3,10.11.26.183,www.google.com
2024-11-26 11:50:14.853623,10.11.26.3,10.11.26.183,www.google.com
2024-11-26 11:50:15.297504,10.11.26.183,10.11.26.3,maps.gstatic.com
2024-11-26 11:50:15.297574,10.11.26.183,10.11.26.3,maps.gstatic.com
2024-11-26 11:50:15.298818,10.11.26.183,10.11.26.3,maps.googleapis.com
2024-11-26 11:50:15.298882,10.11.26.183,10.11.26.3,maps.googleapis.com
2024-11-26 11:50:15.339531,10.11.26.3,10.11.26.183,maps.gstatic.com
2024-11-26 11:50:15.339589,10.11.26.3,10.11.26.183,maps.googleapis.com
2024-11-26 11:50:15.341209,10.11.26.3,10.11.26.183,maps.gstatic.com
2024-11-26 11:50:15.346197,10.11.26.3,10.11.26.183,maps.googleapis.com
2024-11-26 11:50:15.731544,10.11.26.183,10.11.26.3,modandcrackedapk.com
2024-11-26 11:50:15.731619,10.11.26.183,10.11.26.3,modandcrackedapk.com
2024-11-26 11:50:15.731901,10.11.26.3,10.11.26.183,modandcrackedapk.com
2024-11-26 11:50:15.731944,10.11.26.3,10.11.26.183,modandcrackedapk.com
2024-11-26 11:50:15.737596,10.11.26.183,10.11.26.3,edge.microsoft.com
2024-11-26 11:50:15.737637,10.11.26.183,10.11.26.3,edge.microsoft.com
2024-11-26 11:50:15.738378,10.11.26.3,10.11.26.183,edge.microsoft.com
2024-11-26 11:50:15.759516,10.11.26.183,10.11.26.3,confirmsubscription.com
2024-11-26 11:50:15.759609,10.11.26.183,10.11.26.3,confirmsubscription.com
2024-11-26 11:50:15.759828,10.11.26.3,10.11.26.183,confirmsubscription.com
2024-11-26 11:50:15.759949,10.11.26.3,10.11.26.183,confirmsubscription.com
2024-11-26 11:50:15.779927,10.11.26.3,10.11.26.183,edge.microsoft.com
2024-11-26 11:50:16.137502,10.11.26.183,10.11.26.3,css.createsend1.com
2024-11-26 11:50:16.137576,10.11.26.183,10.11.26.3,css.createsend1.com
2024-11-26 11:50:16.137890,10.11.26.183,10.11.26.3,js.createsend1.com
2024-11-26 11:50:16.137958,10.11.26.183,10.11.26.3,js.createsend1.com
2024-11-26 11:50:16.223537,10.11.26.3,10.11.26.183,js.createsend1.com
2024-11-26 11:50:16.223537,10.11.26.3,10.11.26.183,css.createsend1.com
2024-11-26 11:50:16.223586,10.11.26.3,10.11.26.183,js.createsend1.com
2024-11-26 11:50:16.233588,10.11.26.3,10.11.26.183,css.createsend1.com
2024-11-26 11:50:16.459272,10.11.26.183,10.11.26.3,edge.microsoft.com
2024-11-26 11:50:16.459352,10.11.26.183,10.11.26.3,edge.microsoft.com
