timestamp,src_ip,dst_ip,method,host,uri,user_agent
2024-11-26 11:49:38.525014,10.11.26.183,104.117.247.184,GET,www.msftconnecttest.com,/connecttest.txt,Microsoft NCSI
2024-11-26 11:49:38.572840,104.117.247.184,10.11.26.183,,,,
2024-11-26 11:50:40.833231,10.11.26.183,104.117.247.99,GET,r10.o.lencr.org,/MFMwUTBPME0wSzAJBgUrDgMCGgUABBRpD%2BQVZ%2B1vf7U0RGQGBm8JZwdxcgQUdKR2KRcYVIUxN75n5gZYwLzFBXICEgRSsdGCXQJklJZNbHi669GH4A%3D%3D,Microsoft-CryptoAPI/10.0
2024-11-26 11:50:40.928426,104.117.247.99,10.11.26.183,,,,
2024-11-26 11:50:45.744628,10.11.26.183,104.26.1.231,GET,geo.netsupportsoftware.com,/location/loca.asp,
2024-11-26 11:50:45.849438,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:50:46.040395,194.180.191.64,10.11.26.183,,,,
2024-11-26 11:50:46.046139,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:50:46.217770,104.26.1.231,10.11.26.183,,,,
2024-11-26 11:50:46.247479,194.180.191.64,10.11.26.183,,,,
2024-11-26 11:50:46.348055,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:50:46.749227,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:51:46.921682,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:52:47.103354,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:53:47.260093,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:54:47.427092,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:55:47.485672,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:56:47.546358,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:57:47.608604,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:58:47.763032,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 11:59:47.818149,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:00:48.022865,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:01:48.318189,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:01:56.726360,10.11.26.183,23.53.127.105,GET,acroipm2.adobe.com,/assets/Owner/arm/ProcessMAU.txt,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; Tablet PC 2.0)
2024-11-26 12:01:56.771075,23.53.127.105,10.11.26.183,,,,
2024-11-26 12:02:48.487475,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:03:48.558212,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:04:48.715402,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:05:48.896946,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:06:48.946138,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:07:49.001919,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:08:49.062950,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:09:49.216290,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:10:49.369834,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:11:49.523158,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:12:49.680246,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:13:49.737747,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:14:49.880222,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:15:49.936096,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:16:50.090084,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:17:50.148715,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:18:50.207754,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:19:50.367131,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:20:50.424378,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:21:50.485705,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:22:50.640951,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:23:50.794559,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:24:51.056411,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:25:51.112829,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:26:51.175685,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:27:51.330432,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:28:51.593448,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:29:51.748754,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:30:52.010090,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
2024-11-26 12:31:52.161738,10.11.26.183,194.180.191.64,POST,194.180.191.64,http://194.180.191.64/fakeurl.htm,NetSupport Manager/1.3
