frame_no,timestamp,src_ip,dst_ip,tls_version,tls_version_int,cipher_suites_count,extensions_count,ec_groups_count,ec_pf_count,ja3_hash,ja3_raw
188,1725471223.016189,172.17.0.99,20.10.31.115,0x0303,771,1,0,0,0,6a5d235ee78c6aede6a61448b4e9ff1e,"771,47,,,"
248,1725471255.78547,172.17.0.99,20.42.73.28,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
504,1725471275.925719,172.17.0.99,23.221.24.58,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
538,1725471276.135988,172.17.0.99,23.45.119.144,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
539,1725471276.136172,172.17.0.99,23.45.119.144,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
579,1725471276.414787,172.17.0.99,20.96.153.111,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
614,1725471276.750506,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
619,1725471276.816165,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
623,1725471276.854367,172.17.0.99,23.221.24.58,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
811,1725471277.238241,172.17.0.99,23.45.119.144,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
830,1725471277.289574,172.17.0.99,52.109.0.91,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
890,1725471277.953848,172.17.0.99,52.109.0.142,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1056,1725471280.054518,172.17.0.99,20.241.44.114,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
1147,1725471280.22848,172.17.0.99,40.126.28.12,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1153,1725471280.314863,172.17.0.99,40.126.28.12,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1158,1725471280.373568,172.17.0.99,23.40.145.142,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
1203,1725471280.627094,172.17.0.99,23.195.212.189,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1249,1725471296.75341,172.17.0.99,13.107.246.57,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1253,1725471296.788447,172.17.0.99,13.107.246.57,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1279,1725471304.852343,172.17.0.99,46.254.34.201,0x0303,771,1,0,0,0,3c4eb72b882d4d1442c67ce73f1292a9,"771,47,,,"
1533,1725471306.398391,172.17.0.99,40.126.28.12,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1549,1725471306.485925,172.17.0.99,40.126.28.12,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1635,1725471306.787464,172.17.0.99,23.195.212.189,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
1704,1725471309.448825,172.17.0.99,46.254.34.201,0x0303,771,1,0,0,0,3c4eb72b882d4d1442c67ce73f1292a9,"771,47,,,"
2400,1725471397.393741,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,350c9b4a3f847974933dd25e9f9dc620,"771,53,,,"
2402,1725471397.394047,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,1a0fcf72de58b80a8499dea99e961714,"771,53,,,"
2406,1725471397.466055,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,350c9b4a3f847974933dd25e9f9dc620,"771,53,,,"
2410,1725471397.476052,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,1a0fcf72de58b80a8499dea99e961714,"771,53,,,"
2445,1725471397.836563,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,4c6de70d03b552090a8d77fcb0e10629,"771,53,,,"
2448,1725471397.913797,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,4c6de70d03b552090a8d77fcb0e10629,"771,53,,,"
2499,1725471398.255794,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,a35e0e26a8a46900d0f8297769d1112c,"771,53,,,"
2521,1725471398.316055,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,a35e0e26a8a46900d0f8297769d1112c,"771,53,,,"
2549,1725471398.456051,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,81e0f23545c783a55096f99f7c4755d7,"771,53,,,"
2576,1725471398.530743,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,81e0f23545c783a55096f99f7c4755d7,"771,53,,,"
2656,1725471398.65038,172.17.0.99,23.220.251.153,0x0303,771,1,0,0,0,cad306d4b414c5fcf993c03e0d596109,"771,53,,,"
3042,1725471471.59,172.17.0.99,20.96.153.111,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
3145,1725471611.405592,172.17.0.99,13.89.179.9,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
3208,1725471761.569885,172.17.0.99,23.194.68.140,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
3264,1725471852.446145,172.17.0.99,20.189.173.26,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
3357,1725471878.598572,172.17.0.99,23.45.119.144,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
3394,1725471938.67748,172.17.0.99,20.60.228.1,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
3397,1725471938.7641,172.17.0.99,20.60.228.1,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
3508,1725472090.745636,172.17.0.99,23.45.119.143,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
3625,1725472175.97996,172.17.0.99,40.126.28.22,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
3628,1725472176.070698,172.17.0.99,40.126.28.22,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
3651,1725472176.42982,172.17.0.99,23.195.212.189,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
3673,1725472176.675953,172.17.0.99,20.189.173.1,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
3707,1725472177.022281,172.17.0.99,40.119.249.228,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
3741,1725472178.641921,172.17.0.99,40.119.249.228,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
3808,1725472296.49799,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
3812,1725472296.563763,172.17.0.99,204.79.197.203,0x0303,771,1,0,0,0,65005c9d9ae0f0ebeaf22c210571d482,"771,47,,,"
3841,1725472298.572478,172.17.0.99,23.45.119.144,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
3922,1725472478.585142,172.17.0.99,23.45.119.144,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
4039,1725472805.290742,172.17.0.99,20.189.173.18,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
4042,1725472805.387393,172.17.0.99,20.189.173.18,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
4082,1725472852.228611,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
4086,1725472852.29659,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
4157,1725472924.6325,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
4161,1725472924.707889,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
4260,1725473078.983435,172.17.0.99,13.70.79.200,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
4374,1725473224.92074,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
4378,1725473224.999746,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
4510,1725473525.389849,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
4514,1725473525.468695,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
4700,1725473809.566359,172.17.0.99,23.45.119.147,0x0303,771,1,0,0,0,3c293bdf2a25c07559b560ba86debc77,"771,47,,,"
4724,1725473825.888774,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
4728,1725473825.973368,172.17.0.99,52.113.194.132,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
5003,1725474605.172253,172.17.0.99,20.189.173.18,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
5006,1725474605.276234,172.17.0.99,20.189.173.18,0x0303,771,1,0,0,0,5919f6108f098e14c2f37619021ebd4d,"771,47,,,"
