frame_no,timestamp,src_ip,dst_ip,tls_version,tls_version_int,cipher_suites_count,extensions_count,ec_groups_count,ec_pf_count,ja3_hash,ja3_raw
45715,1749829532.105603,10.6.13.133,40.126.29.11,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
45751,1749829550.826622,10.6.13.133,20.50.80.213,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
46218,1749829709.262858,10.6.13.133,20.190.157.14,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
46562,1749829874.565237,10.6.13.133,23.212.185.87,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
46871,1749830017.489474,10.6.13.133,40.69.76.172,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
46894,1749830018.108767,10.6.13.133,173.222.52.33,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
47022,1749830074.398952,10.6.13.133,52.123.129.14,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
47117,1749830116.416387,10.6.13.133,40.69.76.172,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
47145,1749830116.984215,10.6.13.133,173.222.52.33,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
48186,1749830639.865198,10.6.13.133,20.190.157.9,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
48216,1749830641.443223,10.6.13.133,52.167.249.196,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
48243,1749830642.013958,10.6.13.133,52.167.249.196,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
