timestamp,src_ip,dst_ip,query
2025-06-13 22:33:55.712627,10.6.13.133,10.6.13.3,wpad.massfriction.com
2025-06-13 22:33:55.712981,10.6.13.3,10.6.13.133,wpad.massfriction.com
2025-06-13 22:33:55.714176,10.6.13.133,10.6.13.3,DESKTOP-5AVE44C.massfriction.com
2025-06-13 22:33:55.714359,10.6.13.133,10.6.13.3,wpad.massfriction.com
2025-06-13 22:33:55.714360,10.6.13.3,10.6.13.133,DESKTOP-5AVE44C.massfriction.com
2025-06-13 22:33:55.714570,10.6.13.3,10.6.13.133,wpad.massfriction.com
2025-06-13 22:33:55.715541,10.6.13.133,10.6.13.3,massfriction.com
2025-06-13 22:33:55.717558,10.6.13.3,10.6.13.133,massfriction.com
2025-06-13 22:33:55.734271,10.6.13.133,10.6.13.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.massfriction.com
2025-06-13 22:33:55.734567,10.6.13.3,10.6.13.133,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.massfriction.com
2025-06-13 22:33:55.734991,10.6.13.133,10.6.13.3,win-dql4wfwjxq4.massfriction.com
2025-06-13 22:33:55.735214,10.6.13.3,10.6.13.133,win-dql4wfwjxq4.massfriction.com
2025-06-13 22:33:59.870499,10.6.13.133,10.6.13.3,kv601.prod.do.dsp.mp.microsoft.com
2025-06-13 22:33:59.912991,10.6.13.3,10.6.13.133,kv601.prod.do.dsp.mp.microsoft.com
2025-06-13 22:34:00.109090,10.6.13.133,10.6.13.3,geo.prod.do.dsp.mp.microsoft.com
2025-06-13 22:34:00.152757,10.6.13.3,10.6.13.133,geo.prod.do.dsp.mp.microsoft.com
2025-06-13 22:34:00.380409,10.6.13.133,10.6.13.3,wpad.massfriction.com
2025-06-13 22:34:00.380577,10.6.13.3,10.6.13.133,wpad.massfriction.com
2025-06-13 22:34:00.380578,10.6.13.133,10.6.13.3,wpad.massfriction.com
2025-06-13 22:34:00.380782,10.6.13.3,10.6.13.133,wpad.massfriction.com
2025-06-13 22:34:00.403310,10.6.13.133,10.6.13.3,www.msftconnecttest.com
2025-06-13 22:34:00.442333,10.6.13.3,10.6.13.133,www.msftconnecttest.com
2025-06-13 22:34:01.155378,10.6.13.133,10.6.13.3,client.wns.windows.com
2025-06-13 22:34:01.200777,10.6.13.3,10.6.13.133,client.wns.windows.com
2025-06-13 22:34:04.433191,10.6.13.133,10.6.13.3,dns.msftncsi.com
2025-06-13 22:34:04.474739,10.6.13.3,10.6.13.133,dns.msftncsi.com
2025-06-13 22:34:09.921646,10.6.13.133,10.6.13.3,_ldap._tcp.Default-First-Site-Name._sites.massfriction.com
2025-06-13 22:34:09.922094,10.6.13.3,10.6.13.133,_ldap._tcp.Default-First-Site-Name._sites.massfriction.com
2025-06-13 22:34:10.157453,10.6.13.133,10.6.13.3,WIN-DQL4WFWJXQ4.massfriction.com
2025-06-13 22:34:10.157455,10.6.13.3,10.6.13.133,WIN-DQL4WFWJXQ4.massfriction.com
2025-06-13 22:34:13.312615,10.6.13.133,10.6.13.3,login.live.com
2025-06-13 22:34:13.357629,10.6.13.3,10.6.13.133,login.live.com
2025-06-13 22:34:14.493531,10.6.13.133,10.6.13.3,ctldl.windowsupdate.com
2025-06-13 22:34:14.549237,10.6.13.3,10.6.13.133,ctldl.windowsupdate.com
2025-06-13 22:34:14.865754,10.6.13.133,10.6.13.3,wpad.massfriction.com
