frame_no,timestamp,src_ip,dst_ip,tls_version,tls_version_int,cipher_suites_count,extensions_count,ec_groups_count,ec_pf_count,ja3_hash,ja3_raw
68,1732596581.290159,10.11.26.183,4.149.227.78,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
109,1732596581.686056,10.11.26.183,4.149.227.78,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
152,1732596582.235129,10.11.26.183,20.7.2.167,0x0303,771,1,0,0,0,6a5d235ee78c6aede6a61448b4e9ff1e,"771,47,,,"
444,1732596597.286707,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
452,1732596597.357302,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
457,1732596597.376532,10.11.26.183,104.117.244.112,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
530,1732596597.451002,10.11.26.183,52.109.8.89,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
588,1732596597.556517,10.11.26.183,40.126.29.9,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
623,1732596597.615857,10.11.26.183,40.126.29.9,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
634,1732596597.664239,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
647,1732596597.726676,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
715,1732596597.935163,10.11.26.183,52.109.20.47,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
757,1732596598.308291,10.11.26.183,23.221.22.46,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
909,1732596600.384384,10.11.26.183,4.150.155.223,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
932,1732596600.839005,10.11.26.183,4.150.155.223,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
953,1732596601.07165,10.11.26.183,13.107.5.93,0x0303,771,1,0,0,0,68b3ecfaf0034bb9fcbecd518b5ab8d4,"771,47,,,"
962,1732596601.100903,10.11.26.183,40.126.28.11,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
965,1732596601.137006,10.11.26.183,13.107.5.93,0x0303,771,1,0,0,0,68b3ecfaf0034bb9fcbecd518b5ab8d4,"771,47,,,"
1022,1732596602.849797,10.11.26.183,13.107.5.93,0x0303,771,1,0,0,0,68b3ecfaf0034bb9fcbecd518b5ab8d4,"771,47,,,"
1028,1732596602.917874,10.11.26.183,13.107.5.93,0x0303,771,1,0,0,0,68b3ecfaf0034bb9fcbecd518b5ab8d4,"771,47,,,"
1058,1732596606.840908,10.11.26.183,13.107.246.57,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
1062,1732596606.88986,10.11.26.183,13.107.246.57,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
1188,1732596611.399775,10.11.26.183,13.107.21.239,0x0303,771,1,0,0,0,7230db75fbd5472f76d02c10787af505,"771,53,,,"
1206,1732596611.512916,10.11.26.183,213.246.109.5,0x0303,771,1,0,0,0,129a4a4460936a7d35cf0b4a876c02c5,"771,53,,,"
1366,1732596614.310565,10.11.26.183,52.8.34.0,0x0303,771,1,0,0,0,1d2c110dc93a519d4c14a15898f20f6c,"771,53,,,"
1407,1732596614.40386,10.11.26.183,193.42.38.139,0x0303,771,1,0,0,0,f24a7ea8a60779966dc83806405c4091,"771,53,,,"
1490,1732596614.488757,10.11.26.183,193.42.38.139,0x0303,771,1,0,0,0,cbcf96af03d431db8e0fd90215b03309,"771,53,,,"
1768,1732596614.821985,10.11.26.183,142.251.186.95,0x0303,771,1,0,0,0,2ef63960b5419ce0be770acb72a1e6d5,"771,53,,,"
1772,1732596614.84904,10.11.26.183,142.250.138.94,0x0303,771,1,0,0,0,c86423ffed1add9d50dccf646bd7fdbd,"771,53,,,"
1779,1732596614.856007,10.11.26.183,142.250.138.94,0x0303,771,1,0,0,0,1a41c18f74e0a1125e7eb86dc20da423,"771,53,,,"
1783,1732596614.859109,10.11.26.183,142.250.138.94,0x0303,771,1,0,0,0,488f29e13a0873e296eb2dcca6ec38d0,"771,53,,,"
1823,1732596614.91467,10.11.26.183,142.251.186.147,0x0303,771,1,0,0,0,b6b910fa2621ea444621910f5e10aa4a,"771,53,,,"
1828,1732596614.915243,10.11.26.183,142.251.186.147,0x0303,771,1,0,0,0,9c5ffd0e64cc58a2ad1806964fe2da4e,"771,53,,,"
2149,1732596615.382036,10.11.26.183,142.250.113.120,0x0303,771,1,0,0,0,f82158b828f02d82f1f70fbb0f1d6145,"771,53,,,"
2153,1732596615.396979,10.11.26.183,142.250.115.95,0x0303,771,1,0,0,0,46181092bc7467ccd870ec99523f7113,"771,53,,,"
2510,1732596615.726675,10.11.26.183,142.250.115.95,0x0303,771,1,0,0,0,53e42f80bc48a39739f5221b803b1f70,"771,53,,,"
2739,1732596615.797852,10.11.26.183,204.79.197.239,0x0303,771,1,0,0,0,b8f7a95293e0d02d297ecef1efcc79d5,"771,53,,,"
2983,1732596615.827162,10.11.26.183,193.42.38.139,0x0303,771,1,0,0,0,910d5ef16eeb9c556a6f011876c16d38,"771,53,,,"
3068,1732596615.846763,10.11.26.183,13.56.30.207,0x0303,771,1,0,0,0,9763df22d3de0549862e28d0f1103365,"771,53,,,"
3611,1732596616.274241,10.11.26.183,18.160.156.103,0x0303,771,1,0,0,0,4c24b4903c9a3c9b3c46306472bda896,"771,53,,,"
3613,1732596616.27445,10.11.26.183,18.160.156.61,0x0303,771,1,0,0,0,0d7e324cc471d537395a5a84963ff4c0,"771,53,,,"
3789,1732596616.518575,10.11.26.183,142.251.186.95,0x0303,771,1,0,0,0,1aef2a0442d1535b67c961be49fbd9b0,"771,53,,,"
3795,1732596616.533605,10.11.26.183,13.107.21.239,0x0303,771,1,0,0,0,34578b889dbdfd86b5a0639eb869f9c5,"771,53,,,"
3810,1732596616.574611,10.11.26.183,142.250.113.94,0x0303,771,1,0,0,0,39a2db8b2473a3d4cfe7cb23a26e03d6,"771,53,,,"
3885,1732596616.694694,10.11.26.183,142.250.138.94,0x0303,771,1,0,0,0,893fda16143345fbd7d6384fd5f69a44,"771,53,,,"
4118,1732596616.81581,10.11.26.183,193.42.38.139,0x0303,771,1,0,0,0,0652c09be13a164e73c3c66e2d5cd600,"771,53,,,"
4120,1732596616.816199,10.11.26.183,151.101.66.137,0x0303,771,1,0,0,0,c73376907efd66947a8978eacfd15135,"771,53,,,"
4143,1732596616.818773,10.11.26.183,193.42.38.139,0x0303,771,1,0,0,0,2dd32544ddd46095f157e79a028dcda9,"771,53,,,"
4147,1732596616.819151,10.11.26.183,193.42.38.139,0x0303,771,1,0,0,0,af5ca235cbec16c4b5ad43da2bd9b40a,"771,53,,,"
4149,1732596616.819307,10.11.26.183,193.42.38.139,0x0303,771,1,0,0,0,8f08a45cb17ce5d331bb4a861f26181f,"771,53,,,"
11988,1732596623.093978,10.11.26.183,104.117.244.96,0x0303,771,1,0,0,0,97cdfdfb6ce55b090e5070647c73305e,"771,53,,,"
12083,1732596623.254432,10.11.26.183,204.79.197.239,0x0303,771,1,0,0,0,996d810fbaded0fd221205ee7a391364,"771,53,,,"
12134,1732596623.37924,10.11.26.183,204.79.197.239,0x0303,771,1,0,0,0,82fc3feb7b73141563a581cb3a02b9e2,"771,53,,,"
12376,1732596626.773909,10.11.26.183,213.246.109.5,0x0303,771,1,0,0,0,ab617a1bfb55ac132b8893703d7cfec3,"771,53,,,"
12725,1732596638.149298,10.11.26.183,40.118.171.167,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
12771,1732596640.624765,10.11.26.183,193.42.38.139,0x0303,771,1,0,0,0,2800f914a7a4ba98aa9df62d316a460c,"771,47,,,"
20357,1732596648.472268,10.11.26.183,52.168.112.67,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
20501,1732596662.988273,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
20505,1732596663.054999,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
20623,1732596717.846942,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,10b3abe91219287930575e96187aab46,"771,53,,,"
20627,1732596717.911883,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,10b3abe91219287930575e96187aab46,"771,53,,,"
20649,1732596718.304948,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,e544273138fcf6e7dc137dd4f74d6fd0,"771,53,,,"
20653,1732596718.372163,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,e544273138fcf6e7dc137dd4f74d6fd0,"771,53,,,"
20706,1732596718.671608,10.11.26.183,104.117.247.162,0x0303,771,1,0,0,0,7117eb033929b913d5dbbef620c9ca24,"771,53,,,"
20772,1732596718.792127,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,b13922eb23a33bd76cd8442814f25cb5,"771,53,,,"
20779,1732596718.861647,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,b13922eb23a33bd76cd8442814f25cb5,"771,53,,,"
20822,1732596719.021655,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,5c0851e1f7c97a5fdf8ee34bd73a8ff4,"771,53,,,"
20842,1732596719.092213,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,5c0851e1f7c97a5fdf8ee34bd73a8ff4,"771,53,,,"
21206,1732596828.451764,10.11.26.183,20.96.153.111,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
21305,1732596963.469275,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
21309,1732596963.539605,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
21381,1732597162.443203,10.11.26.183,20.189.173.6,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
21427,1732597237.746118,10.11.26.183,23.204.171.61,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
21437,1732597237.79287,10.11.26.183,20.99.184.37,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
21479,1732597243.035063,10.11.26.183,52.165.164.15,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
21615,1732597249.594804,10.11.26.183,20.42.73.28,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
21673,1732597263.857546,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
21677,1732597263.938947,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
21728,1732597316.941078,10.11.26.183,23.201.68.167,0x0303,771,1,0,0,0,2800f914a7a4ba98aa9df62d316a460c,"771,47,,,"
21762,1732597328.48372,10.11.26.183,20.189.173.23,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
21804,1732597442.804139,10.11.26.183,20.189.173.23,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
21832,1732597494.231822,10.11.26.183,20.189.173.26,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
21835,1732597494.315214,10.11.26.183,20.189.173.26,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
21859,1732597496.939407,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
21862,1732597496.954561,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
21970,1732597497.854417,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
21971,1732597497.854462,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
21972,1732597497.854602,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
21973,1732597497.854883,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
22314,1732597498.334994,10.11.26.183,52.109.0.136,0x0303,771,1,0,0,0,2800f914a7a4ba98aa9df62d316a460c,"771,47,,,"
22392,1732597499.674632,10.11.26.183,173.222.49.101,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
22395,1732597499.694523,10.11.26.183,173.222.49.101,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
23578,1732597500.461778,10.11.26.183,173.222.49.101,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
23594,1732597500.614675,10.11.26.183,173.222.49.101,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
24468,1732597500.938703,10.11.26.183,173.222.49.101,0x0303,771,1,0,0,0,258a5a1e95b8a911872bae9081526644,"771,47,,,"
25900,1732597616.759687,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,d7268fba5c8ebdc86121861931c04402,"771,47,,,"
25904,1732597616.83806,10.11.26.183,204.79.197.203,0x0303,771,1,0,0,0,d7268fba5c8ebdc86121861931c04402,"771,47,,,"
25940,1732597669.045614,10.11.26.183,20.189.173.23,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
25981,1732597789.105406,10.11.26.183,20.189.173.16,0x0303,771,1,0,0,0,2800f914a7a4ba98aa9df62d316a460c,"771,47,,,"
25984,1732597789.178852,10.11.26.183,20.189.173.16,0x0303,771,1,0,0,0,2800f914a7a4ba98aa9df62d316a460c,"771,47,,,"
26144,1732598406.35495,10.11.26.183,20.42.73.25,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
26238,1732598497.372599,10.11.26.183,52.113.194.132,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
26454,1732599294.111943,10.11.26.183,20.189.173.26,0x0303,771,1,0,0,0,6634ba84945fce7cc2d7864edc49b103,"771,47,,,"
