timestamp,src_ip,dst_ip,query
2024-09-04 17:32:31.328745,172.17.0.99,172.17.0.17,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bepositive.com
2024-09-04 17:32:31.328944,172.17.0.17,172.17.0.99,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bepositive.com
2024-09-04 17:32:31.329715,172.17.0.99,172.17.0.17,DESKTOP-RNVO9AT.bepositive.com
2024-09-04 17:32:31.329715,172.17.0.99,172.17.0.17,win-ctl9xbq9y19.bepositive.com
2024-09-04 17:32:31.329895,172.17.0.17,172.17.0.99,DESKTOP-RNVO9AT.bepositive.com
2024-09-04 17:32:31.329895,172.17.0.17,172.17.0.99,win-ctl9xbq9y19.bepositive.com
2024-09-04 17:32:31.330497,172.17.0.99,172.17.0.17,bepositive.com
2024-09-04 17:32:31.332560,172.17.0.17,172.17.0.99,bepositive.com
2024-09-04 17:32:31.431684,172.17.0.99,172.17.0.17,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bepositive.com
2024-09-04 17:32:31.431808,172.17.0.17,172.17.0.99,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bepositive.com
2024-09-04 17:32:31.819433,172.17.0.99,172.17.0.17,wpad.bepositive.com
2024-09-04 17:32:31.819433,172.17.0.99,172.17.0.17,wpad.bepositive.com
2024-09-04 17:32:31.819563,172.17.0.17,172.17.0.99,wpad.bepositive.com
2024-09-04 17:32:31.819563,172.17.0.17,172.17.0.99,wpad.bepositive.com
2024-09-04 17:32:31.835596,172.17.0.99,172.17.0.17,www.msftconnecttest.com
2024-09-04 17:32:31.893848,172.17.0.17,172.17.0.99,www.msftconnecttest.com
2024-09-04 17:32:32.993509,172.17.0.99,172.17.0.17,www.msftconnecttest.com
2024-09-04 17:32:32.994150,172.17.0.17,172.17.0.99,www.msftconnecttest.com
2024-09-04 17:32:37.933111,172.17.0.99,172.17.0.17,dns.msftncsi.com
2024-09-04 17:32:37.973714,172.17.0.17,172.17.0.99,dns.msftncsi.com
2024-09-04 17:32:49.837118,172.17.0.99,172.17.0.17,wpad.bepositive.com
2024-09-04 17:32:49.837323,172.17.0.99,172.17.0.17,wpad.bepositive.com
2024-09-04 17:32:49.837437,172.17.0.17,172.17.0.99,wpad.bepositive.com
2024-09-04 17:32:49.837588,172.17.0.17,172.17.0.99,wpad.bepositive.com
2024-09-04 17:33:13.048261,172.17.0.99,172.17.0.17,pti.store.microsoft.com
2024-09-04 17:33:13.099436,172.17.0.17,172.17.0.99,pti.store.microsoft.com
2024-09-04 17:33:49.852947,172.17.0.99,172.17.0.17,wpad.bepositive.com
2024-09-04 17:33:49.852947,172.17.0.99,172.17.0.17,wpad.bepositive.com
2024-09-04 17:33:49.852947,172.17.0.17,172.17.0.99,wpad.bepositive.com
2024-09-04 17:33:49.853010,172.17.0.17,172.17.0.99,wpad.bepositive.com
2024-09-04 17:34:15.643683,172.17.0.99,172.17.0.17,v10.events.data.microsoft.com
2024-09-04 17:34:15.698202,172.17.0.17,172.17.0.99,v10.events.data.microsoft.com
2024-09-04 17:34:35.832629,172.17.0.99,172.17.0.17,www.bing.com
2024-09-04 17:34:35.893014,172.17.0.17,172.17.0.99,www.bing.com
2024-09-04 17:34:36.051539,172.17.0.99,172.17.0.17,assets.msn.com
2024-09-04 17:34:36.098646,172.17.0.17,172.17.0.99,assets.msn.com
2024-09-04 17:34:36.287268,172.17.0.99,172.17.0.17,arc.msn.com
2024-09-04 17:34:36.337426,172.17.0.17,172.17.0.99,arc.msn.com
2024-09-04 17:34:36.652439,172.17.0.99,172.17.0.17,www.msn.com
2024-09-04 17:34:36.695416,172.17.0.17,172.17.0.99,www.msn.com
2024-09-04 17:34:36.987349,172.17.0.99,172.17.0.17,officeclient.microsoft.com
2024-09-04 17:34:37.198320,172.17.0.17,172.17.0.99,officeclient.microsoft.com
2024-09-04 17:34:37.731425,172.17.0.99,172.17.0.17,odc.officeapps.live.com
2024-09-04 17:34:37.873237,172.17.0.17,172.17.0.99,odc.officeapps.live.com
2024-09-04 17:34:39.973890,172.17.0.99,172.17.0.17,g.live.com
2024-09-04 17:34:39.977517,172.17.0.17,172.17.0.99,g.live.com
2024-09-04 17:34:40.106056,172.17.0.99,172.17.0.17,login.microsoftonline.com
2024-09-04 17:34:40.152646,172.17.0.17,172.17.0.99,login.microsoftonline.com
2024-09-04 17:34:40.294043,172.17.0.99,172.17.0.17,oneclient.sfx.ms
